country_code,installed_capacity_MW,pumping_MW,,,country_code,Installed_capacity,pumping capacity
SE,18,Not Recorded,,,,,
IT,17,Not Recorded,,,,,
IT,17,Not Recorded,,,,,
IT,17,Not Recorded,,,,,
AT,17,Not Recorded,,,,,
AT,17,Not Recorded,,,,,
AT,17,Not Recorded,,,,,
AT,17,Not Recorded,,,,,
FI,17,Not Recorded,,,,,
FI,17,Not Recorded,,,,,
CH,16.93,Not Recorded,,,,,
DE,16.7,Not Recorded,,,,,
SE,17.38661001,Not Recorded,,,,,
DE,16.6,Not Recorded,,,,,
SK,16.5,Not Recorded,,,,,
CH,16.5,Not Recorded,,,,,
UK,16.5,Not Recorded,,,,,
FR,297,Not Recorded,,,,,
CH,16.5,Not Recorded,,,,,
DE,16.4,Not Recorded,,,,,
DE,16.4,Not Recorded,,,,,
DE,16.4,Not Recorded,,,,,
FR,16.28980892,Not Recorded,,,,,
DE,16.2,Not Recorded,,,,,
SK,16.1,Not Recorded,,,,,
CH,16.03,Not Recorded,,,,,
IT,1016,784,,,,,
FR,285,Not Recorded,,,,,
AT,16,Not Recorded,,,,,
AT,16,Not Recorded,,,,,
AT,16,Not Recorded,,,,,
AT,16,Not Recorded,,,,,
DE,16,Not Recorded,,,,,
DE,16,Not Recorded,,,,,
IT,16,Not Recorded,,,,,
IT,16,Not Recorded,,,,,
FR,293,Not Recorded,,,,,
IT,16,Not Recorded,,,,,
AT,16,Not Recorded,,,,,
AT,16,Not Recorded,,,,,
CZ,16,Not Recorded,,,,,
AT,293,Not Recorded,,,,,
FI,16,Not Recorded,,,,,
RO,16,Not Recorded,,,,,
ES,15.89,Not Recorded,,,,,
CH,15.8,Not Recorded,,,,,
CH,15.7,Not Recorded,,,,,
SE,16.69114561,Not Recorded,,,,,
CH,15.5,Not Recorded,,,,,
CH,15.5,Not Recorded,,,,,
AT,292,242,,,,,
CH,15.2,Not Recorded,,,,,
ES,15,Not Recorded,,,,,
ES,15,Not Recorded,,,,,
AT,15,Not Recorded,,,,,
SK,15,Not Recorded,,,,,
DE,15,Not Recorded,,,,,
DE,15,Not Recorded,,,,,
CH,15,Not Recorded,,,,,
CH,15,Not Recorded,,,,,
AT,15,Not Recorded,,,,,
SE,15.6,Not Recorded,,,,,
IT,15,Not Recorded,,,,,
IT,15,Not Recorded,,,,,
IT,15.2,Not Recorded,,,,,
IT,15,Not Recorded,,,,,
IT,14.49,Not Recorded,,,,,
UK,15,Not Recorded,,,,,
UK,15,Not Recorded,,,,,
UK,15,Not Recorded,,,,,
UK,15,Not Recorded,,,,,
AT,287,Not Recorded,,,,,
CH,15,Not Recorded,,,,,
ES,15,Not Recorded,,,,,
FI,15.3,Not Recorded,,,,,
RO,15,Not Recorded,,,,,
RO,15,Not Recorded,,,,,
